stem,split,cls,cls_name,w,h,area,ar,cx,cy,max_eye_w,source,vg
000012_png_jpg.rf.3f24d2c38acece78dd5263c4df5b3a96,train,1,open_eye,0.7625,0.564063,0.4300980375,1.3517993557457233,0.432812,0.510156,0.7625,unmatched,18
000013_jpg.rf.3045ce9e170d84ce5fc53a1b15b4020d,train,1,open_eye,0.145313,0.051562,0.007492628905999999,2.8182188433342383,0.383594,0.530469,0.145313,bare_numeric,20
000013_jpg.rf.3045ce9e170d84ce5fc53a1b15b4020d,train,1,open_eye,0.142187,0.053906,0.0076647324220000005,2.637684116795904,0.626563,0.523438,0.145313,bare_numeric,20
000013_jpg.rf.8f21fa99ea42e2d1aafe281932a79066,train,1,open_eye,0.740625,0.3625,0.26847656249999996,2.043103448275862,0.567187,0.502344,0.740625,bare_numeric,21
000013_jpg.rf.d89e2839b0edecbb95aba6509ad6adbf,train,1,open_eye,0.3625,0.740625,0.26847656249999996,0.48945147679324896,0.502344,0.432812,0.3625,bare_numeric,22
000013_jpg.rf.ef92773e8e49202b542df26a61a18f89,train,1,open_eye,0.3625,0.740625,0.26847656249999996,0.48945147679324896,0.497656,0.567187,0.3625,bare_numeric,23
000014_jpg.rf.90cac0474a01df50ea528681d4894087,train,1,open_eye,0.682813,0.398438,0.272058646094,1.7137245945416852,0.492188,0.407031,0.682813,bare_numeric,25
000014_jpg.rf.dd762d08caddf2b5f267c52bec1c1bd4,train,1,open_eye,0.682813,0.398438,0.272058646094,1.7137245945416852,0.492188,0.407031,0.682813,bare_numeric,25
000014_jpg.rf.eb0b1273901a97866605698ab52f03fb,train,1,open_eye,0.398438,0.682813,0.272058646094,0.5835243324306948,0.407031,0.507812,0.398438,bare_numeric,26
000016_jpg.rf.44a3ea33073e5c87d483ecbbf1150760,train,1,open_eye,0.217188,0.35,0.0760158,0.6205371428571429,0.49375,0.267969,0.217188,bare_numeric,27
000016_jpg.rf.683dd5e6de9fad6d87cbd1703c6a93df,train,1,open_eye,0.10625,0.053906,0.0057275125,1.971023633732794,0.389062,0.521094,0.10625,bare_numeric,28
000016_jpg.rf.683dd5e6de9fad6d87cbd1703c6a93df,train,1,open_eye,0.096875,0.054688,0.0052979,1.7714123756582798,0.605469,0.5125,0.10625,bare_numeric,28
000016_jpg.rf.b125057c9e042e2ff2b5b4224c06e14f,train,1,open_eye,0.217188,0.35,0.0760158,0.6205371428571429,0.50625,0.732031,0.217188,bare_numeric,29
000016_jpg.rf.e3d92b73dd3e8dd33f43790841cf9fa1,train,1,open_eye,0.35,0.217188,0.0760158,1.6115070814225463,0.732031,0.49375,0.35,bare_numeric,30
000017_jpg.rf.89c3634c07faa51f810f91fc67bdf5ce,train,1,open_eye,0.155469,0.067187,0.010445495703,2.3139744295771503,0.6125,0.524219,0.155469,bare_numeric,31
000017_jpg.rf.89c3634c07faa51f810f91fc67bdf5ce,train,1,open_eye,0.154688,0.078906,0.012205811327999999,1.960408587433148,0.3625,0.529687,0.155469,bare_numeric,31
000018_jpg.rf.197158e510dd33f57aa307d98774d901,train,1,open_eye,0.310937,0.326562,0.10154020859400001,0.9521530367893386,0.4625,0.782031,0.310937,bare_numeric,32
000018_jpg.rf.274076e48b46b538e52851b4073263bd,train,1,open_eye,0.326562,0.310937,0.10154020859400001,1.0502513370875772,0.782031,0.5375,0.326562,bare_numeric,34
000018_jpg.rf.7215df7df25bd66bdd766119ce7e85f2,train,1,open_eye,0.326562,0.310937,0.10154020859400001,1.0502513370875772,0.782031,0.5375,0.326562,bare_numeric,34
000018_jpg.rf.84865b5ef2d7a2e44e752efc024dcf04,train,1,open_eye,0.114062,0.050781,0.005792182422,2.2461550579941316,0.628125,0.51875,0.129688,bare_numeric,35
000018_jpg.rf.84865b5ef2d7a2e44e752efc024dcf04,train,1,open_eye,0.129688,0.071875,0.009321324999999998,1.8043547826086959,0.369531,0.514844,0.129688,bare_numeric,35
000019_jpg.rf.09282f9cf78d03549db64109b7227e11,train,1,open_eye,0.348438,0.745313,0.25969537109400004,0.4675055983190955,0.635938,0.48125,0.348438,bare_numeric,36
000019_jpg.rf.a9dbd88ec42b22168c692062a02048ab,train,1,open_eye,0.745313,0.348438,0.25969537109400004,2.139011818458377,0.51875,0.635938,0.745313,bare_numeric,39
000019_jpg.rf.c6e89662e1217b73137ca75a5b499c18,train,1,open_eye,0.152344,0.05,0.007617200000000001,3.04688,0.389844,0.516406,0.152344,bare_numeric,38
000019_jpg.rf.c6e89662e1217b73137ca75a5b499c18,train,1,open_eye,0.125781,0.042969,0.005404683789,2.927249877818893,0.628125,0.517969,0.152344,bare_numeric,38
000021_jpg.rf.b65d594f5bbecc408f0b80973974778c,train,1,open_eye,0.096094,0.051562,0.004954798828,1.8636592839688144,0.60625,0.514062,0.096094,bare_numeric,40
000022_jpg.rf.4ee8c33db65b5402796d8509ddf103e6,train,1,open_eye,0.111719,0.047656,0.005324080663999999,2.3442798388450563,0.390625,0.517969,0.133594,bare_numeric,41
000022_jpg.rf.4ee8c33db65b5402796d8509ddf103e6,train,1,open_eye,0.133594,0.05,0.0066797,2.67188,0.632031,0.514844,0.133594,bare_numeric,41
000023_jpg.rf.a601d51d1b10cd0e4b93f77090c18fbe,train,1,open_eye,0.115625,0.042969,0.004968290625,2.690893434801834,0.382031,0.523438,0.115625,bare_numeric,42
000023_jpg.rf.a601d51d1b10cd0e4b93f77090c18fbe,train,1,open_eye,0.096094,0.057031,0.0054803369139999995,1.6849432764636776,0.603125,0.519531,0.115625,bare_numeric,42
000026_jpg.rf.e9d9736c7a794c716d57df3bb59989ad,train,1,open_eye,0.164844,0.069531,0.011461768163999998,2.3707986365793676,0.602344,0.51875,0.196094,bare_numeric,43
000026_jpg.rf.e9d9736c7a794c716d57df3bb59989ad,train,1,open_eye,0.196094,0.055469,0.010877138085999999,3.535199841352828,0.367188,0.526563,0.196094,bare_numeric,43
000028_jpg.rf.6e4f18ef95242b7691c6e7991a3e1ea2,train,1,open_eye,0.132812,0.055469,0.007366948828,2.394346391678235,0.616406,0.520312,0.164062,bare_numeric,44
000028_jpg.rf.6e4f18ef95242b7691c6e7991a3e1ea2,train,1,open_eye,0.164062,0.088281,0.014483557422,1.8584066786737805,0.375781,0.516406,0.164062,bare_numeric,44
000029_jpg.rf.55ca05ba9bfd3379b116168412d1789e,train,1,open_eye,0.495312,0.746875,0.36993614999999996,0.6631792468619246,0.500781,0.539062,0.495312,bare_numeric,47
000029_jpg.rf.eede16ad27f59f3b637c859a6809b3f1,train,1,open_eye,0.746875,0.495312,0.36993614999999996,1.5078879574894208,0.460938,0.500781,0.746875,bare_numeric,46
000029_jpg.rf.fb733ceca8a4530ca36dfd7f97f18e1c,train,1,open_eye,0.495312,0.746875,0.36993614999999996,0.6631792468619246,0.500781,0.539062,0.495312,bare_numeric,47
000030_jpg.rf.433b1a935cba2b2a8af1f131e45fb164,train,1,open_eye,0.595313,0.385937,0.229753313281,1.5425134154019957,0.56875,0.592969,0.595313,bare_numeric,48
000030_jpg.rf.8627f36f462e4a1d3c16a3c67c563638,train,1,open_eye,0.10625,0.065625,0.00697265625,1.6190476190476188,0.399219,0.511719,0.10625,bare_numeric,49
000030_jpg.rf.8627f36f462e4a1d3c16a3c67c563638,train,1,open_eye,0.103125,0.054688,0.0056397,1.8856970450555879,0.604688,0.525,0.10625,bare_numeric,49
000030_jpg.rf.a2b62ba634656ba60a3b71989f9c46be,train,1,open_eye,0.385937,0.595313,0.229753313281,0.648292578861876,0.407031,0.56875,0.385937,bare_numeric,51
000030_jpg.rf.abcebc497248eab3662d723723db314c,train,1,open_eye,0.385937,0.595313,0.229753313281,0.648292578861876,0.407031,0.56875,0.385937,bare_numeric,51
000031_jpg.rf.4a8761fd030df3cf4bd1fc3ae91c4cd2,train,1,open_eye,0.153125,0.038281,0.005861778125000001,4.000026122619576,0.628906,0.51875,0.153125,bare_numeric,52
000032_jpg.rf.e87f348b0c47bfdb6ce4eb672fb65bbe,train,1,open_eye,0.11875,0.046094,0.0054736625,2.5762572135201975,0.386719,0.5125,0.11875,bare_numeric,53
000033_jpg.rf.1806aee1d619959ff7be16e9d8d22db7,train,1,open_eye,0.128906,0.057031,0.007351638085999999,2.260279497115604,0.385156,0.513281,0.128906,bare_numeric,54
000033_jpg.rf.1806aee1d619959ff7be16e9d8d22db7,train,1,open_eye,0.1125,0.045312,0.0050976,2.4827860169491527,0.621094,0.523438,0.128906,bare_numeric,54
000034_jpg.rf.481aaece183f9358418778b0dd9cc63a,train,1,open_eye,0.117188,0.060937,0.0071410851559999995,1.9231009074946257,0.39375,0.509375,0.117188,bare_numeric,55
000034_jpg.rf.481aaece183f9358418778b0dd9cc63a,train,1,open_eye,0.114844,0.05625,0.006459975000000001,2.041671111111111,0.619531,0.517969,0.117188,bare_numeric,55
000035_jpg.rf.23dfbe94b38dfcb7a6c6840b75451788,train,1,open_eye,0.122656,0.052344,0.006420305664,2.3432676142442306,0.396094,0.513281,0.149219,bare_numeric,56
000035_jpg.rf.23dfbe94b38dfcb7a6c6840b75451788,train,1,open_eye,0.149219,0.047656,0.007111180663999999,3.131169212690952,0.639844,0.515625,0.149219,bare_numeric,56
000036_jpg.rf.f8939b7e307b7fc90f11eb987fa0be57,train,1,open_eye,0.139844,0.055469,0.007757006836,2.521119904811697,0.56875,0.507812,0.139844,bare_numeric,57
000037_jpg.rf.7a272af0558d99c3af5c26c228011e7a,train,1,open_eye,0.098437,0.063281,0.006229191797,1.5555537997187148,0.400781,0.510156,0.098437,bare_numeric,58
000037_jpg.rf.7a272af0558d99c3af5c26c228011e7a,train,1,open_eye,0.083594,0.065625,0.005485856250000001,1.2738133333333332,0.589063,0.505469,0.098437,bare_numeric,58
000038_jpg.rf.40a3e53045019b1f499ebc9efd8a0de8,train,1,open_eye,0.104688,0.051562,0.005397922655999999,2.030332415344634,0.385156,0.514062,0.104688,bare_numeric,59
000038_jpg.rf.40a3e53045019b1f499ebc9efd8a0de8,train,1,open_eye,0.104688,0.051562,0.005397922655999999,2.030332415344634,0.617188,0.514062,0.104688,bare_numeric,59
000039_jpg.rf.36b8bfb751d1a9b69f0d5d26f99491a5,train,1,open_eye,0.163281,0.058594,0.009567286914,2.7866505102911563,0.378906,0.51875,0.163281,bare_numeric,60
000039_jpg.rf.36b8bfb751d1a9b69f0d5d26f99491a5,train,1,open_eye,0.098437,0.053906,0.005306344922,1.8260861499647534,0.625,0.516406,0.163281,bare_numeric,60
000040_jpg.rf.2b424d56c43368167b3629820c92e9b3,train,1,open_eye,0.673438,0.507812,0.341979897656,1.326156136522965,0.420312,0.534375,0.673438,bare_numeric,63
000040_jpg.rf.654d429fde455dfcad944e48e0223c09,train,1,open_eye,0.507812,0.673438,0.341979897656,0.7540590225083824,0.465625,0.420312,0.507812,bare_numeric,62
000040_jpg.rf.9b466fa27e04d58596ecea1cc2f0d6bd,train,1,open_eye,0.673438,0.507812,0.341979897656,1.326156136522965,0.420312,0.534375,0.673438,bare_numeric,63
000041_jpg.rf.9d37f4daa3547b6d7d371dfc08f3047d,train,1,open_eye,0.128125,0.053906,0.006906706249999999,2.376822617148369,0.594531,0.529687,0.128125,bare_numeric,64
000041_jpg.rf.9d37f4daa3547b6d7d371dfc08f3047d,train,1,open_eye,0.079687,0.067187,0.005353930468999999,1.18604789617039,0.396094,0.485938,0.128125,bare_numeric,64
000042_jpg.rf.0b0e567c2cefd8735d9e51e8d0a97bae,train,1,open_eye,0.642188,0.4125,0.26490254999999996,1.556819393939394,0.528906,0.520312,0.642188,bare_numeric,66
000042_jpg.rf.6a12388e69d602add3567fc9dd07d9ad,train,1,open_eye,0.642188,0.4125,0.26490254999999996,1.556819393939394,0.528906,0.520312,0.642188,bare_numeric,66
000042_jpg.rf.eb86d5ac8ee918a500075d09e8964734,train,1,open_eye,0.4125,0.642188,0.26490254999999996,0.6423352663083085,0.479687,0.528906,0.4125,bare_numeric,67
000042_jpg.rf.fa18cad1b6d6e951aaec1a6dbdf20614,train,1,open_eye,0.146875,0.05625,0.00826171875,2.611111111111111,0.378906,0.511719,0.149219,bare_numeric,68
000042_jpg.rf.fa18cad1b6d6e951aaec1a6dbdf20614,train,1,open_eye,0.149219,0.053906,0.008043799414,2.7681334174303416,0.647656,0.5125,0.149219,bare_numeric,68
000044_jpg.rf.8af8b526d423da987827ae116932bedf,train,1,open_eye,0.142187,0.275,0.039101425,0.5170436363636364,0.470313,0.585156,0.142187,bare_numeric,69
000044_jpg.rf.913641acb723b712f3cd8ccc24fea6fd,train,1,open_eye,0.275,0.142187,0.039101425,1.9340727352008271,0.585156,0.529687,0.275,bare_numeric,24723
000045_jpg.rf.995bf58be76ef7eb5ed0dcef9dad7ae5,train,1,open_eye,0.128125,0.048438,0.00620611875,2.6451339857136955,0.619531,0.521094,0.128125,bare_numeric,72
000046_jpg.rf.a315474bb47d93f2c1154c4db432356a,train,1,open_eye,0.150781,0.070312,0.010601713672,2.144456138354762,0.369531,0.515625,0.150781,bare_numeric,73
000046_jpg.rf.a315474bb47d93f2c1154c4db432356a,train,1,open_eye,0.142969,0.06875,0.009829118750000001,2.079549090909091,0.626563,0.522656,0.150781,bare_numeric,73
000047_jpg.rf.fdc2267b4ba13b9a915afbe5459880b2,train,1,open_eye,0.128125,0.057031,0.0073070968749999994,2.246585190510424,0.621094,0.519531,0.1375,bare_numeric,45075
000047_jpg.rf.fdc2267b4ba13b9a915afbe5459880b2,train,1,open_eye,0.1375,0.054688,0.0075196,2.5142627267407844,0.36875,0.5125,0.1375,bare_numeric,45075
000048_jpg.rf.7725f6773705b65d6e7b1b1726e206ab,train,1,open_eye,0.110156,0.064062,0.007056813671999999,1.7195217133402019,0.604688,0.501563,0.110156,bare_numeric,75
000049_jpg.rf.07c2c8353bbbcd6c639ed0325be3946c,train,1,open_eye,0.084375,0.048438,0.004086956250000001,1.7419175027870681,0.416406,0.492969,0.084375,bare_numeric,76
000050_jpg.rf.026c0dd711ad64f329c4c17234206359,train,1,open_eye,0.124219,0.050781,0.006307965039,2.446170811917843,0.377344,0.51875,0.124219,bare_numeric,77
000050_jpg.rf.026c0dd711ad64f329c4c17234206359,train,1,open_eye,0.121875,0.055469,0.006760284375,2.197173195839117,0.624219,0.514062,0.124219,bare_numeric,77
000051_jpg.rf.1089ec68a7cf1b566baeb2019190a61c,train,1,open_eye,0.119531,0.067969,0.008124402539,1.7586105430416807,0.622656,0.514062,0.128906,bare_numeric,78
000051_jpg.rf.1089ec68a7cf1b566baeb2019190a61c,train,1,open_eye,0.128906,0.064062,0.008257976172,2.01220692454185,0.378125,0.525,0.128906,bare_numeric,78
000052_jpg.rf.9b390c173ef000e0afb6507d87d2ec37,train,1,open_eye,0.11875,0.032813,0.00389654375,3.618992472495657,0.608594,0.516406,0.11875,bare_numeric,79
000053_jpg.rf.04106562213967dc1c6938a17d373e9e,train,1,open_eye,0.245312,0.160938,0.039480022656,1.524264002286595,0.340625,0.507031,0.245312,bare_numeric,82
000054_jpg.rf.45427acdf0801d45dee90913d831c8b4,train,1,open_eye,0.3875,0.553125,0.2143359375,0.7005649717514125,0.55625,0.611719,0.3875,bare_numeric,83
000054_jpg.rf.b9fd5c39186225028aadaf45b15dcee6,train,1,open_eye,0.3875,0.553125,0.2143359375,0.7005649717514125,0.44375,0.388281,0.3875,bare_numeric,84
000054_jpg.rf.df5d60be74f8a11934581d836a60c5e9,train,1,open_eye,0.553125,0.3875,0.2143359375,1.4274193548387095,0.388281,0.55625,0.553125,bare_numeric,24725
000055_jpg.rf.b89737fb6930246c94a92b99a73d56bb,train,1,open_eye,0.114062,0.044531,0.005079294922,2.5614066605286205,0.395313,0.519531,0.122656,bare_numeric,86
000055_jpg.rf.b89737fb6930246c94a92b99a73d56bb,train,1,open_eye,0.122656,0.046875,0.0057495,2.6166613333333335,0.603125,0.516406,0.122656,bare_numeric,86
000056_jpg.rf.d1926c0f7f2c5a2ccee1822a06f9c091,train,1,open_eye,0.11875,0.042969,0.00510256875,2.7636202843910724,0.614844,0.513281,0.11875,bare_numeric,87
000057_jpg.rf.ee9692726a602cfcf40932ef41c3aa53,train,1,open_eye,0.1375,0.070312,0.0096679,1.9555694618272843,0.383594,0.509375,0.1375,bare_numeric,88
000057_jpg.rf.ee9692726a602cfcf40932ef41c3aa53,train,1,open_eye,0.107031,0.065625,0.007023909375000001,1.6309485714285714,0.603125,0.513281,0.1375,bare_numeric,88
000059_jpg.rf.e45c6a8b99537cf6c73c8f5496e50019,train,1,open_eye,0.157812,0.071875,0.0113427375,2.195645217391305,0.622656,0.503906,0.157812,bare_numeric,89
000059_jpg.rf.e45c6a8b99537cf6c73c8f5496e50019,train,1,open_eye,0.103906,0.067187,0.006981132421999999,1.5465194159584443,0.397656,0.5125,0.157812,bare_numeric,89
000060_jpg.rf.129708e77a67dca482883673b23b3295,train,1,open_eye,0.284375,0.35,0.09953124999999999,0.8125,0.714063,0.45625,0.284375,bare_numeric,92
000060_jpg.rf.129708e77a67dca482883673b23b3295,train,1,open_eye,0.084375,0.3,0.0253125,0.28125000000000006,0.226562,0.519531,0.284375,bare_numeric,92
000060_jpg.rf.7fe9694ed3ad1027d670a984cd0bee3d,train,1,open_eye,0.125,0.050781,0.006347625,2.4615505799413167,0.621094,0.507031,0.125,bare_numeric,91
000060_jpg.rf.bb122e79445eb19aaae0c492414d473a,train,1,open_eye,0.284375,0.35,0.09953124999999999,0.8125,0.714063,0.45625,0.284375,bare_numeric,92
000060_jpg.rf.bb122e79445eb19aaae0c492414d473a,train,1,open_eye,0.084375,0.3,0.0253125,0.28125000000000006,0.226562,0.519531,0.284375,bare_numeric,92
000060_jpg.rf.f068c360f2afa02bf540424d7c44f4c6,train,1,open_eye,0.35,0.284375,0.09953124999999999,1.2307692307692308,0.45625,0.285938,0.35,bare_numeric,93
000060_jpg.rf.f068c360f2afa02bf540424d7c44f4c6,train,1,open_eye,0.3,0.084375,0.0253125,3.5555555555555554,0.519531,0.773438,0.35,bare_numeric,93
000061_jpg.rf.1d2f5cb8ab645426ba97e358a37b1d2e,train,1,open_eye,0.09375,0.041406,0.0038818125,2.2641646138240836,0.585156,0.507812,0.120313,bare_numeric,94
000061_jpg.rf.1d2f5cb8ab645426ba97e358a37b1d2e,train,1,open_eye,0.120313,0.047656,0.005733636328,2.5246138996139,0.392188,0.515625,0.120313,bare_numeric,94
000062_jpg.rf.6fc6c5cf771483218a0c57227fb108c8,train,1,open_eye,0.121875,0.060156,0.0073315125,2.0259824456413322,0.383594,0.517969,0.121875,bare_numeric,95
000062_jpg.rf.6fc6c5cf771483218a0c57227fb108c8,train,1,open_eye,0.116406,0.06875,0.0080029125,1.6931781818181817,0.611719,0.510156,0.121875,bare_numeric,95
000063_jpg.rf.84595717c8ff9a1624cbf22e4b0ab938,train,1,open_eye,0.128906,0.078125,0.010070781249999999,1.6499967999999998,0.3625,0.517969,0.128906,bare_numeric,96
000063_jpg.rf.84595717c8ff9a1624cbf22e4b0ab938,train,1,open_eye,0.126562,0.059375,0.00751461875,2.1315705263157896,0.608594,0.521094,0.128906,bare_numeric,96
000064_jpg.rf.10eace9cab08fd74a30b15eb0a1d6136,train,1,open_eye,0.128125,0.048438,0.00620611875,2.6451339857136955,0.38125,0.515625,0.128125,bare_numeric,97
000064_jpg.rf.10eace9cab08fd74a30b15eb0a1d6136,train,1,open_eye,0.127344,0.048438,0.006168288672000001,2.629010281184194,0.61875,0.515625,0.128125,bare_numeric,97
000065_jpg.rf.1795d47d03619566088ee121b0b3f9c3,train,1,open_eye,0.155469,0.057031,0.008866552538999999,2.7260437306026546,0.385156,0.521875,0.155469,bare_numeric,98
000065_jpg.rf.1795d47d03619566088ee121b0b3f9c3,train,1,open_eye,0.145313,0.059375,0.008627959374999999,2.447376842105263,0.628125,0.526563,0.155469,bare_numeric,98
000068_jpg.rf.ac8dfb3b9140c16c4e89975008330bcd,train,1,open_eye,0.107031,0.036719,0.003930071289,2.9148669626079142,0.401562,0.510938,0.107031,bare_numeric,99
000068_jpg.rf.ac8dfb3b9140c16c4e89975008330bcd,train,1,open_eye,0.096875,0.049219,0.004768090625,1.9682439708242754,0.605469,0.510938,0.107031,bare_numeric,99
000070_jpg.rf.37276461d5949f581b0ee9cc59a46a1a,train,1,open_eye,0.117188,0.072656,0.008514411328,1.6129156573441974,0.38125,0.499219,0.169531,bare_numeric,100
000070_jpg.rf.37276461d5949f581b0ee9cc59a46a1a,train,1,open_eye,0.169531,0.063281,0.010728091210999999,2.6790189788404097,0.603125,0.522656,0.169531,bare_numeric,100
000072_jpg.rf.ac3d2866c1ac3bc6ca6ec69158f8188e,train,1,open_eye,0.122656,0.059375,0.0072827,2.065785263157895,0.370312,0.516406,0.122656,bare_numeric,101
000072_jpg.rf.ac3d2866c1ac3bc6ca6ec69158f8188e,train,1,open_eye,0.120313,0.050781,0.0061096144530000005,2.369252279395837,0.632812,0.525,0.122656,bare_numeric,101
000073_jpg.rf.808e98159c2a51a0b4974a44cf4a2b7b,train,1,open_eye,0.078906,0.053125,0.0041918812500000005,1.485289411764706,0.395313,0.513281,0.117188,bare_numeric,102
000073_jpg.rf.808e98159c2a51a0b4974a44cf4a2b7b,train,1,open_eye,0.117188,0.049219,0.005767876172,2.380950445965989,0.600781,0.510938,0.117188,bare_numeric,102
000074_jpg.rf.d17b276c3102390fec136fa309a48dd4,train,1,open_eye,0.139844,0.070312,0.009832711328,1.9889065877801797,0.621875,0.508594,0.139844,bare_numeric,103
000074_jpg.rf.d17b276c3102390fec136fa309a48dd4,train,1,open_eye,0.123438,0.060937,0.007521941406,2.0256658516172443,0.378906,0.510156,0.139844,bare_numeric,103
000075_jpg.rf.235552044468ef9052c491c5a466dad8,train,1,open_eye,0.132031,0.067187,0.008870766797,1.9651271823418224,0.429688,0.508594,0.201563,bare_numeric,104
000075_jpg.rf.235552044468ef9052c491c5a466dad8,train,1,open_eye,0.201563,0.051562,0.010392991405999998,3.9091385128583065,0.635938,0.514062,0.201563,bare_numeric,104
000076_jpg.rf.af1e7771aa08e1922f90ce082a161e93,train,1,open_eye,0.125,0.048438,0.00605475,2.5806185226475082,0.380469,0.51875,0.125,bare_numeric,105
000077_jpg.rf.46ad81a44db5ff8d7d442753ded835ae,train,1,open_eye,0.15,0.042969,0.00644535,3.49088878028346,0.621094,0.521094,0.15,bare_numeric,106
000078_jpg.rf.728e13d64ad461646d1d04427ea28108,train,1,open_eye,0.136719,0.055469,0.007583666211,2.4647821305594118,0.380469,0.516406,0.136719,bare_numeric,107
000078_jpg.rf.728e13d64ad461646d1d04427ea28108,train,1,open_eye,0.125,0.046875,0.005859375,2.6666666666666665,0.6375,0.515625,0.136719,bare_numeric,107
000079_jpg.rf.8b79f21dc230f1e3cd5732397c321fee,train,1,open_eye,0.090625,0.035937,0.0032567906249999995,2.521774215989092,0.388281,0.5125,0.090625,bare_numeric,108
000080_jpg.rf.7e0db27279ed7cddb9ea8be207d905c3,train,1,open_eye,0.11875,0.057813,0.00686529375,2.0540362894158752,0.388281,0.517188,0.119531,bare_numeric,109
000080_jpg.rf.7e0db27279ed7cddb9ea8be207d905c3,train,1,open_eye,0.119531,0.039844,0.004762593163999999,2.9999749021182613,0.607031,0.517969,0.119531,bare_numeric,109
