image_id,source_dataset,original_path,final_path,subject_id,video_id,session_id,split,visual_group_id,class_count,classes_present,n_closed,n_open,n_yawn,image_width,image_height,max_eye_box_width,quality_status,duplicate_status,annotation_status,lighting_condition,gray_flag,brightness,blur_var,blur_status,glasses_status,reason_code,reason
000001_jpg.rf.bc86be6e310885eda2b091ac1d57e99e,bare_numeric,C:\mini_yolo\dataset\images\train\000001_jpg.rf.bc86be6e310885eda2b091ac1d57e99e.jpg,C:\mini_yolo\dataset_final_v1\images\train\000001_jpg.rf.bc86be6e310885eda2b091ac1d57e99e.jpg,unknown,unknown,unknown,train,2,2,open_eye,0,2,0,640,640,0.1023,ok,unique,eye_scale,normal_daylight,rgb,146.86,594.26,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000018_jpg.rf.197158e510dd33f57aa307d98774d901,bare_numeric,C:\mini_yolo\dataset\images\train\000018_jpg.rf.197158e510dd33f57aa307d98774d901.jpg,C:\mini_yolo\dataset_final_v1\images\train\000018_jpg.rf.197158e510dd33f57aa307d98774d901.jpg,unknown,unknown,unknown,train,32,1,open_eye,0,1,0,640,640,0.3109,ok,unique,eye_scale,normal_daylight,rgb,171.42,7074.35,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000018_jpg.rf.274076e48b46b538e52851b4073263bd,bare_numeric,C:\mini_yolo\dataset\images\train\000018_jpg.rf.274076e48b46b538e52851b4073263bd.jpg,C:\mini_yolo\dataset_final_v1\images\train\000018_jpg.rf.274076e48b46b538e52851b4073263bd.jpg,unknown,unknown,unknown,train,34,1,open_eye,0,1,0,640,640,0.3266,ok,intra_split_near_duplicate,eye_scale,normal_daylight,rgb,171.11,12262.23,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000018_jpg.rf.7215df7df25bd66bdd766119ce7e85f2,bare_numeric,C:\mini_yolo\dataset\images\train\000018_jpg.rf.7215df7df25bd66bdd766119ce7e85f2.jpg,C:\mini_yolo\dataset_final_v1\images\train\000018_jpg.rf.7215df7df25bd66bdd766119ce7e85f2.jpg,unknown,unknown,unknown,train,34,1,open_eye,0,1,0,640,640,0.3266,ok,intra_split_near_duplicate,eye_scale,normal_daylight,rgb,172.33,169.21,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000018_jpg.rf.84865b5ef2d7a2e44e752efc024dcf04,bare_numeric,C:\mini_yolo\dataset\images\train\000018_jpg.rf.84865b5ef2d7a2e44e752efc024dcf04.jpg,C:\mini_yolo\dataset_final_v1\images\train\000018_jpg.rf.84865b5ef2d7a2e44e752efc024dcf04.jpg,unknown,unknown,unknown,train,35,2,open_eye,0,2,0,640,640,0.1297,ok,unique,eye_scale,normal_daylight,rgb,157.87,249.04,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000019_jpg.rf.09282f9cf78d03549db64109b7227e11,bare_numeric,C:\mini_yolo\dataset\images\train\000019_jpg.rf.09282f9cf78d03549db64109b7227e11.jpg,C:\mini_yolo\dataset_final_v1\images\train\000019_jpg.rf.09282f9cf78d03549db64109b7227e11.jpg,unknown,unknown,unknown,train,36,1,open_eye,0,1,0,640,640,0.3484,ok,unique,eye_scale,normal_daylight,rgb,109.41,8269.39,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000019_jpg.rf.c6e89662e1217b73137ca75a5b499c18,bare_numeric,C:\mini_yolo\dataset\images\train\000019_jpg.rf.c6e89662e1217b73137ca75a5b499c18.jpg,C:\mini_yolo\dataset_final_v1\images\train\000019_jpg.rf.c6e89662e1217b73137ca75a5b499c18.jpg,unknown,unknown,unknown,train,38,2,open_eye,0,2,0,640,640,0.1523,ok,unique,eye_scale,normal_daylight,rgb,166.12,111.32,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000021_jpg.rf.b65d594f5bbecc408f0b80973974778c,bare_numeric,C:\mini_yolo\dataset\images\train\000021_jpg.rf.b65d594f5bbecc408f0b80973974778c.jpg,C:\mini_yolo\dataset_final_v1\images\train\000021_jpg.rf.b65d594f5bbecc408f0b80973974778c.jpg,unknown,unknown,unknown,train,40,1,open_eye,0,1,0,640,640,0.0961,ok,unique,eye_scale,normal_daylight,rgb,123.39,63.94,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000022_jpg.rf.4ee8c33db65b5402796d8509ddf103e6,bare_numeric,C:\mini_yolo\dataset\images\train\000022_jpg.rf.4ee8c33db65b5402796d8509ddf103e6.jpg,C:\mini_yolo\dataset_final_v1\images\train\000022_jpg.rf.4ee8c33db65b5402796d8509ddf103e6.jpg,unknown,unknown,unknown,train,41,2,open_eye,0,2,0,640,640,0.1336,ok,unique,eye_scale,normal_daylight,rgb,127.31,58.55,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000023_jpg.rf.a601d51d1b10cd0e4b93f77090c18fbe,bare_numeric,C:\mini_yolo\dataset\images\train\000023_jpg.rf.a601d51d1b10cd0e4b93f77090c18fbe.jpg,C:\mini_yolo\dataset_final_v1\images\train\000023_jpg.rf.a601d51d1b10cd0e4b93f77090c18fbe.jpg,unknown,unknown,unknown,train,42,2,open_eye,0,2,0,640,640,0.1156,ok,unique,eye_scale,normal_daylight,rgb,124.47,178.24,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000026_jpg.rf.e9d9736c7a794c716d57df3bb59989ad,bare_numeric,C:\mini_yolo\dataset\images\train\000026_jpg.rf.e9d9736c7a794c716d57df3bb59989ad.jpg,C:\mini_yolo\dataset_final_v1\images\train\000026_jpg.rf.e9d9736c7a794c716d57df3bb59989ad.jpg,unknown,unknown,unknown,train,43,2,open_eye,0,2,0,640,640,0.1961,ok,unique,eye_scale,normal_daylight,rgb,122.47,64.41,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000028_jpg.rf.6e4f18ef95242b7691c6e7991a3e1ea2,bare_numeric,C:\mini_yolo\dataset\images\train\000028_jpg.rf.6e4f18ef95242b7691c6e7991a3e1ea2.jpg,C:\mini_yolo\dataset_final_v1\images\train\000028_jpg.rf.6e4f18ef95242b7691c6e7991a3e1ea2.jpg,unknown,unknown,unknown,train,44,2,open_eye,0,2,0,640,640,0.1641,ok,unique,eye_scale,normal_daylight,rgb,157.11,72.6,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000030_jpg.rf.8627f36f462e4a1d3c16a3c67c563638,bare_numeric,C:\mini_yolo\dataset\images\train\000030_jpg.rf.8627f36f462e4a1d3c16a3c67c563638.jpg,C:\mini_yolo\dataset_final_v1\images\train\000030_jpg.rf.8627f36f462e4a1d3c16a3c67c563638.jpg,unknown,unknown,unknown,train,49,2,open_eye,0,2,0,640,640,0.1062,ok,unique,eye_scale,low_light,rgb,67.13,102.56,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000030_jpg.rf.a2b62ba634656ba60a3b71989f9c46be,bare_numeric,C:\mini_yolo\dataset\images\train\000030_jpg.rf.a2b62ba634656ba60a3b71989f9c46be.jpg,C:\mini_yolo\dataset_final_v1\images\train\000030_jpg.rf.a2b62ba634656ba60a3b71989f9c46be.jpg,unknown,unknown,unknown,train,51,1,open_eye,0,1,0,640,640,0.3859,ok,intra_split_near_duplicate,eye_scale,normal_daylight,rgb,168.28,5669.28,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000030_jpg.rf.abcebc497248eab3662d723723db314c,bare_numeric,C:\mini_yolo\dataset\images\train\000030_jpg.rf.abcebc497248eab3662d723723db314c.jpg,C:\mini_yolo\dataset_final_v1\images\train\000030_jpg.rf.abcebc497248eab3662d723723db314c.jpg,unknown,unknown,unknown,train,51,1,open_eye,0,1,0,640,640,0.3859,ok,intra_split_near_duplicate,eye_scale,normal_daylight,rgb,166.93,18281.42,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000031_jpg.rf.4a8761fd030df3cf4bd1fc3ae91c4cd2,bare_numeric,C:\mini_yolo\dataset\images\train\000031_jpg.rf.4a8761fd030df3cf4bd1fc3ae91c4cd2.jpg,C:\mini_yolo\dataset_final_v1\images\train\000031_jpg.rf.4a8761fd030df3cf4bd1fc3ae91c4cd2.jpg,unknown,unknown,unknown,train,52,1,open_eye,0,1,0,640,640,0.1531,ok,unique,eye_scale,normal_daylight,rgb,112.0,113.39,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000032_jpg.rf.e87f348b0c47bfdb6ce4eb672fb65bbe,bare_numeric,C:\mini_yolo\dataset\images\train\000032_jpg.rf.e87f348b0c47bfdb6ce4eb672fb65bbe.jpg,C:\mini_yolo\dataset_final_v1\images\train\000032_jpg.rf.e87f348b0c47bfdb6ce4eb672fb65bbe.jpg,unknown,unknown,unknown,train,53,1,open_eye,0,1,0,640,640,0.1187,ok,unique,eye_scale,normal_daylight,rgb,113.13,85.24,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000033_jpg.rf.1806aee1d619959ff7be16e9d8d22db7,bare_numeric,C:\mini_yolo\dataset\images\train\000033_jpg.rf.1806aee1d619959ff7be16e9d8d22db7.jpg,C:\mini_yolo\dataset_final_v1\images\train\000033_jpg.rf.1806aee1d619959ff7be16e9d8d22db7.jpg,unknown,unknown,unknown,train,54,2,open_eye,0,2,0,640,640,0.1289,ok,unique,eye_scale,normal_daylight,rgb,110.32,68.52,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000034_jpg.rf.481aaece183f9358418778b0dd9cc63a,bare_numeric,C:\mini_yolo\dataset\images\train\000034_jpg.rf.481aaece183f9358418778b0dd9cc63a.jpg,C:\mini_yolo\dataset_final_v1\images\train\000034_jpg.rf.481aaece183f9358418778b0dd9cc63a.jpg,unknown,unknown,unknown,train,55,2,open_eye,0,2,0,640,640,0.1172,ok,unique,eye_scale,low_light,rgb,80.89,53.09,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000035_jpg.rf.23dfbe94b38dfcb7a6c6840b75451788,bare_numeric,C:\mini_yolo\dataset\images\train\000035_jpg.rf.23dfbe94b38dfcb7a6c6840b75451788.jpg,C:\mini_yolo\dataset_final_v1\images\train\000035_jpg.rf.23dfbe94b38dfcb7a6c6840b75451788.jpg,unknown,unknown,unknown,train,56,2,open_eye,0,2,0,640,640,0.1492,ok,unique,eye_scale,low_light,rgb,95.48,153.97,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000036_jpg.rf.f8939b7e307b7fc90f11eb987fa0be57,bare_numeric,C:\mini_yolo\dataset\images\train\000036_jpg.rf.f8939b7e307b7fc90f11eb987fa0be57.jpg,C:\mini_yolo\dataset_final_v1\images\train\000036_jpg.rf.f8939b7e307b7fc90f11eb987fa0be57.jpg,unknown,unknown,unknown,train,57,1,open_eye,0,1,0,640,640,0.1398,ok,unique,eye_scale,normal_daylight,rgb,123.13,44.44,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000037_jpg.rf.7a272af0558d99c3af5c26c228011e7a,bare_numeric,C:\mini_yolo\dataset\images\train\000037_jpg.rf.7a272af0558d99c3af5c26c228011e7a.jpg,C:\mini_yolo\dataset_final_v1\images\train\000037_jpg.rf.7a272af0558d99c3af5c26c228011e7a.jpg,unknown,unknown,unknown,train,58,2,open_eye,0,2,0,640,640,0.0984,ok,unique,eye_scale,low_light,rgb,86.1,92.32,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000038_jpg.rf.40a3e53045019b1f499ebc9efd8a0de8,bare_numeric,C:\mini_yolo\dataset\images\train\000038_jpg.rf.40a3e53045019b1f499ebc9efd8a0de8.jpg,C:\mini_yolo\dataset_final_v1\images\train\000038_jpg.rf.40a3e53045019b1f499ebc9efd8a0de8.jpg,unknown,unknown,unknown,train,59,2,open_eye,0,2,0,640,640,0.1047,ok,unique,eye_scale,normal_daylight,rgb,177.87,194.67,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000039_jpg.rf.36b8bfb751d1a9b69f0d5d26f99491a5,bare_numeric,C:\mini_yolo\dataset\images\train\000039_jpg.rf.36b8bfb751d1a9b69f0d5d26f99491a5.jpg,C:\mini_yolo\dataset_final_v1\images\train\000039_jpg.rf.36b8bfb751d1a9b69f0d5d26f99491a5.jpg,unknown,unknown,unknown,train,60,2,open_eye,0,2,0,640,640,0.1633,ok,unique,eye_scale,normal_daylight,rgb,102.8,117.48,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000041_jpg.rf.9d37f4daa3547b6d7d371dfc08f3047d,bare_numeric,C:\mini_yolo\dataset\images\train\000041_jpg.rf.9d37f4daa3547b6d7d371dfc08f3047d.jpg,C:\mini_yolo\dataset_final_v1\images\train\000041_jpg.rf.9d37f4daa3547b6d7d371dfc08f3047d.jpg,unknown,unknown,unknown,train,64,2,open_eye,0,2,0,640,640,0.1281,ok,unique,eye_scale,normal_daylight,rgb,115.08,49.18,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000042_jpg.rf.fa18cad1b6d6e951aaec1a6dbdf20614,bare_numeric,C:\mini_yolo\dataset\images\train\000042_jpg.rf.fa18cad1b6d6e951aaec1a6dbdf20614.jpg,C:\mini_yolo\dataset_final_v1\images\train\000042_jpg.rf.fa18cad1b6d6e951aaec1a6dbdf20614.jpg,unknown,unknown,unknown,train,68,2,open_eye,0,2,0,640,640,0.1492,ok,unique,eye_scale,low_light,rgb,93.0,92.47,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000044_jpg.rf.8af8b526d423da987827ae116932bedf,bare_numeric,C:\mini_yolo\dataset\images\train\000044_jpg.rf.8af8b526d423da987827ae116932bedf.jpg,C:\mini_yolo\dataset_final_v1\images\train\000044_jpg.rf.8af8b526d423da987827ae116932bedf.jpg,unknown,unknown,unknown,train,69,1,open_eye,0,1,0,640,640,0.1422,ok,unique,eye_scale,normal_daylight,rgb,146.09,7110.58,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000044_jpg.rf.913641acb723b712f3cd8ccc24fea6fd,bare_numeric,C:\mini_yolo\dataset\images\train\000044_jpg.rf.913641acb723b712f3cd8ccc24fea6fd.jpg,C:\mini_yolo\dataset_final_v1\images\train\000044_jpg.rf.913641acb723b712f3cd8ccc24fea6fd.jpg,unknown,unknown,unknown,train,24723,1,open_eye,0,1,0,640,640,0.275,ok,unique,eye_scale,normal_daylight,rgb,146.66,99.09,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000045_jpg.rf.995bf58be76ef7eb5ed0dcef9dad7ae5,bare_numeric,C:\mini_yolo\dataset\images\train\000045_jpg.rf.995bf58be76ef7eb5ed0dcef9dad7ae5.jpg,C:\mini_yolo\dataset_final_v1\images\train\000045_jpg.rf.995bf58be76ef7eb5ed0dcef9dad7ae5.jpg,unknown,unknown,unknown,train,72,1,open_eye,0,1,0,640,640,0.1281,ok,unique,eye_scale,normal_daylight,rgb,119.15,176.63,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000046_jpg.rf.a315474bb47d93f2c1154c4db432356a,bare_numeric,C:\mini_yolo\dataset\images\train\000046_jpg.rf.a315474bb47d93f2c1154c4db432356a.jpg,C:\mini_yolo\dataset_final_v1\images\train\000046_jpg.rf.a315474bb47d93f2c1154c4db432356a.jpg,unknown,unknown,unknown,train,73,2,open_eye,0,2,0,640,640,0.1508,ok,unique,eye_scale,normal_daylight,rgb,122.09,105.81,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000047_jpg.rf.fdc2267b4ba13b9a915afbe5459880b2,bare_numeric,C:\mini_yolo\dataset\images\train\000047_jpg.rf.fdc2267b4ba13b9a915afbe5459880b2.jpg,C:\mini_yolo\dataset_final_v1\images\train\000047_jpg.rf.fdc2267b4ba13b9a915afbe5459880b2.jpg,unknown,unknown,unknown,train,45075,2,open_eye,0,2,0,640,640,0.1375,ok,unique,eye_scale,low_light,rgb,95.02,53.99,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000048_jpg.rf.7725f6773705b65d6e7b1b1726e206ab,bare_numeric,C:\mini_yolo\dataset\images\train\000048_jpg.rf.7725f6773705b65d6e7b1b1726e206ab.jpg,C:\mini_yolo\dataset_final_v1\images\train\000048_jpg.rf.7725f6773705b65d6e7b1b1726e206ab.jpg,unknown,unknown,unknown,train,75,1,open_eye,0,1,0,640,640,0.1102,ok,unique,eye_scale,night_or_very_low_light,rgb,44.31,62.43,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
000049_jpg.rf.07c2c8353bbbcd6c639ed0325be3946c,bare_numeric,C:\mini_yolo\dataset\images\train\000049_jpg.rf.07c2c8353bbbcd6c639ed0325be3946c.jpg,C:\mini_yolo\dataset_final_v1\images\train\000049_jpg.rf.07c2c8353bbbcd6c639ed0325be3946c.jpg,unknown,unknown,unknown,train,76,1,open_eye,0,1,0,640,640,0.0844,ok,unique,eye_scale,low_light,rgb,91.22,20.55,blurry,unknown,A,eye boxes at eye scale; deployment-relevant framing
000050_jpg.rf.026c0dd711ad64f329c4c17234206359,bare_numeric,C:\mini_yolo\dataset\images\train\000050_jpg.rf.026c0dd711ad64f329c4c17234206359.jpg,C:\mini_yolo\dataset_final_v1\images\train\000050_jpg.rf.026c0dd711ad64f329c4c17234206359.jpg,unknown,unknown,unknown,train,77,2,open_eye,0,2,0,640,640,0.1242,ok,unique,eye_scale,low_light,rgb,61.14,54.74,sharp,unknown,A,eye boxes at eye scale; deployment-relevant framing
